packet size: 512bytes
number of packets: 16.0
signal frequency: 40
sample frequency: 80.0
force units: N, moment units: Nm
Counter: 127.0     , Fx: 0.13      ,Fy: -0.1      , Fz: 0.58      , Mx: -0.0056   ,My: -0.0008   ,Mz: 0.0021    ,
Counter: 128.0     , Fx: 0.01      ,Fy: -0.16     , Fz: -0.24     , Mx: -0.0032   ,My: -0.0024   ,Mz: -0.001    ,
Counter: 129.0     , Fx: -0.07     ,Fy: 0.03      , Fz: 0.1       , Mx: -0.0008   ,My: 0.0008    ,Mz: 0.001     ,
Counter: 130.0     , Fx: 0.23      ,Fy: 0.05      , Fz: -0.15     , Mx: 0.0032    ,My: 0.0       ,Mz: -0.0042   ,
Counter: 131.0     , Fx: -0.18     ,Fy: -0.08     , Fz: 0.1       , Mx: 0.0024    ,My: -0.0016   ,Mz: -0.0021   ,
Counter: 132.0     , Fx: 0.21      ,Fy: -0.19     , Fz: 0.0       , Mx: 0.0       ,My: -0.0024   ,Mz: -0.001    ,
Counter: 133.0     , Fx: -0.24     ,Fy: -0.05     , Fz: -0.49     , Mx: 0.0048    ,My: -0.0064   ,Mz: -0.001    ,
Counter: 134.0     , Fx: 0.12      ,Fy: -0.13     , Fz: 0.19      , Mx: -0.0016   ,My: -0.0032   ,Mz: 0.0042    ,
Counter: 135.0     , Fx: -0.1      ,Fy: 0.0       , Fz: 1.12      , Mx: -0.0016   ,My: -0.0016   ,Mz: 0.0042    ,
Counter: 136.0     , Fx: 0.09      ,Fy: 0.01      , Fz: -0.05     , Mx: 0.004     ,My: -0.0016   ,Mz: -0.0031   ,
Counter: 137.0     , Fx: -0.24     ,Fy: -0.24     , Fz: -0.29     , Mx: -0.0008   ,My: -0.0016   ,Mz: 0.0       ,
Counter: 138.0     , Fx: -0.16     ,Fy: -0.01     , Fz: 0.05      , Mx: 0.0       ,My: 0.0       ,Mz: -0.0052   ,
Counter: 139.0     , Fx: 0.02      ,Fy: -0.11     , Fz: -0.34     , Mx: -0.0016   ,My: 0.0024    ,Mz: 0.001     ,
Counter: 140.0     , Fx: 0.34      ,Fy: 0.05      , Fz: 0.05      , Mx: 0.0       ,My: -0.0016   ,Mz: -0.0031   ,
Counter: 141.0     , Fx: -0.04     ,Fy: -0.04     , Fz: -0.44     , Mx: -0.0016   ,My: 0.0016    ,Mz: 0.0031    ,
Counter: 142.0     , Fx: -0.36     ,Fy: -0.23     , Fz: 0.68      , Mx: -0.004    ,My: 0.0008    ,Mz: 0.0052    ,
Counter: 143.0     , Fx: -0.01     ,Fy: 0.01      , Fz: -0.34     , Mx: 0.0016    ,My: -0.0016   ,Mz: -0.0021   ,
